date,month,operator_name,operator_id,reward_value,el_reward_value,balance,rank_in_month,percentile,threshold,above_threshold_eth,above_threshold_pct,outlier_method,month_mean,month_median,month_std,std_above_mean,days_in_month
2023-01-11,2023-01,Blockscape,5,97.5472,71.2669,236512,1,100.0,44.887,26.3799,58.7695,std_el_based,40.4382,34.5598,15.4961,3.6854,31
2023-01-12,2023-01,Kiln,8,47.5459,21.4894,236480,1,100.0,19.2515,2.2379,11.6246,std_el_based,36.66,35.9958,4.4687,2.436,31
2023-01-14,2023-01,Chorus One,3,64.8405,40.1917,224000,1,100.0,23.727,16.4647,69.3925,std_el_based,35.0943,32.3401,6.7954,4.3774,31
2023-01-14,2023-01,Kiln,8,46.0098,19.67,236480,3,93.5484,19.2515,0.4185,2.1741,std_el_based,36.66,35.9958,4.4687,2.0923,31
2023-01-17,2023-01,P2P.org,2,59.8622,33.2476,236512,1,100.0,25.2381,8.0095,31.7358,std_el_based,38.3075,35.2514,6.7176,3.2087,31
2023-01-18,2023-01,Blockscape,5,77.2008,50.4122,236512,3,93.5484,44.887,5.5251,12.3089,std_el_based,40.4382,34.5598,15.4961,2.3724,31
2023-01-18,2023-01,Kiln,8,46.3082,19.6152,236480,2,96.7742,19.2515,0.3638,1.8895,std_el_based,36.66,35.9958,4.4687,2.1591,31
2023-01-24,2023-01,Attestant (BVI) Limited,29,14.4978,9.1324,51200,1,100.0,4.7517,4.3807,92.1909,std_el_based,4.5411,4.1433,3.3842,2.9421,31
2023-01-26,2023-01,Blockscape,5,80.42,53.723,236512,2,96.7742,44.887,8.8359,19.6848,std_el_based,40.4382,34.5598,15.4961,2.5801,31
2023-01-26,2023-01,Staking Facilities,0,56.9589,30.2162,236512,1,100.0,18.0903,12.1259,67.0298,std_el_based,35.2261,34.0325,4.6409,4.6829,31
2023-01-29,2023-01,Attestant (BVI) Limited,29,11.7418,5.2961,65856,2,96.7742,4.7517,0.5444,11.4559,std_el_based,4.5411,4.1433,3.3842,2.1277,31
2023-01-31,2023-01,P2P.org,2,52.6876,26.4067,236512,2,96.7742,25.2381,1.1686,4.6303,std_el_based,38.3075,35.2514,6.7176,2.1407,31
2023-02-03,2023-02,P2P.org,2,45.3713,19.1474,236512,1,100.0,17.4677,1.6797,9.616,std_el_based,36.5656,36.2083,3.5534,2.4781,28
2023-02-08,2023-02,Staking Facilities,0,45.6115,19.556,236512,1,100.0,18.76,0.7959,4.2427,std_el_based,36.5354,35.059,4.1251,2.2002,28
2023-02-12,2023-02,Chorus One,3,64.8999,40.1699,224000,2,96.4286,33.9385,6.2314,18.3608,std_el_based,37.3499,34.5615,10.5854,2.6027,28
2023-02-14,2023-02,Attestant (BVI) Limited,29,23.2636,12.8112,95648,1,100.0,8.705,4.1062,47.1708,std_el_based,14.3506,13.7354,2.797,3.1867,28
2023-02-14,2023-02,Blockscape,5,56.2605,30.0443,236512,2,96.4286,28.7824,1.2619,4.3843,std_el_based,39.2601,37.4728,7.9096,2.1494,28
2023-02-14,2023-02,Chorus One,3,81.3294,57.0171,224000,1,100.0,33.9385,23.0786,68.0012,std_el_based,37.3499,34.5615,10.5854,4.1548,28
2023-02-16,2023-02,Staking Facilities,0,44.6861,18.764,236512,2,96.4286,18.76,0.004,0.0213,std_el_based,36.5354,35.059,4.1251,1.9759,28
2023-02-21,2023-02,Attestant (BVI) Limited,29,20.6228,9.2563,101856,2,96.4286,8.705,0.5513,6.3329,std_el_based,14.3506,13.7354,2.797,2.2425,28
2023-02-21,2023-02,Kiln,8,49.3078,23.4968,236480,1,100.0,19.4387,4.0581,20.8765,std_el_based,37.4522,36.8172,3.956,2.9969,28
2023-02-22,2023-02,Blockscape,5,60.8817,35.0946,236512,1,100.0,28.7824,6.3122,21.9308,std_el_based,39.2601,37.4728,7.9096,2.7336,28
2023-03-07,2023-03,P2P.org,2,94.6325,69.7155,236512,2,96.7742,51.3695,18.346,35.7138,std_el_based,41.4553,34.507,17.5311,3.0333,31
2023-03-11,2023-03,Attestant (BVI) Limited,29,82.2917,65.5612,160000,1,100.0,32.9843,32.5768,98.7645,std_el_based,26.4229,22.6914,11.7589,4.7512,31
2023-03-11,2023-03,Blockscape,5,138.332,112.8123,236512,1,100.0,56.0566,56.7558,101.2474,std_el_based,40.5278,34.5876,20.3818,4.7986,31
2023-03-11,2023-03,Chorus One,3,115.2988,92.1446,224000,1,100.0,49.546,42.5985,85.9777,std_el_based,37.2979,32.5157,18.0367,4.3246,31
2023-03-11,2023-03,Kiln,8,83.6994,58.2996,236480,2,96.7742,44.9711,13.3285,29.6379,std_el_based,40.2319,35.0221,15.0966,2.8793,31
2023-03-11,2023-03,P2P.org,2,108.8621,84.1408,236512,1,100.0,51.3695,32.7713,63.7952,std_el_based,41.4553,34.507,17.5311,3.845,31
2023-03-12,2023-03,Kiln,8,84.0369,58.5388,236480,1,100.0,44.9711,13.5677,30.1699,std_el_based,40.2319,35.0221,15.0966,2.9016,31
2023-03-13,2023-03,Chorus One,3,91.5337,67.14,224000,2,96.7742,49.546,17.594,35.5103,std_el_based,37.2979,32.5157,18.0367,3.007,31
2023-03-13,2023-03,Kiln,8,81.4154,55.99,236480,3,93.5484,44.9711,11.0189,24.5023,std_el_based,40.2319,35.0221,15.0966,2.728,31
2023-03-20,2023-03,Staking Facilities,0,727.739,702.5382,236512,1,100.0,282.4557,420.0825,148.7251,std_el_based,61.746,34.6146,122.9662,5.4161,31
2023-04-09,2023-04,P2P.org,2,720.4532,695.5562,236512,1,100.0,279.4545,416.1017,148.8978,std_el_based,57.9663,35.0232,123.1479,5.3796,30
2023-04-09,2023-04,Staking Facilities,0,139.2537,114.3816,236512,1,100.0,57.9747,56.4069,97.2956,std_el_based,41.3223,34.9287,20.7582,4.7177,30
2023-04-13,2023-04,Kiln,8,62.2563,39.0982,236480,1,100.0,23.67,15.4282,65.1802,std_el_based,34.6378,33.0591,6.692,4.1271,30
2023-04-18,2023-04,Attestant (BVI) Limited,29,36.7604,18.5984,175104,1,100.0,15.5334,3.0649,19.7313,std_el_based,24.9411,24.6817,4.6143,2.5615,30
2023-04-19,2023-04,Attestant (BVI) Limited,29,35.2366,17.3573,177536,2,96.6667,15.5334,1.8239,11.7417,std_el_based,24.9411,24.6817,4.6143,2.2312,30
2023-04-19,2023-04,Blockscape,5,63.4883,38.1218,236512,1,100.0,24.0368,14.0849,58.5973,std_el_based,35.1517,33.4833,7.0038,4.0459,30
2023-04-19,2023-04,Chorus One,3,42.6171,18.7663,224000,1,100.0,16.7,2.0663,12.3731,std_el_based,32.1675,31.4331,4.1685,2.5068,30
2023-04-20,2023-04,Blockscape,5,51.3581,25.7926,236512,2,96.6667,24.0368,1.7557,7.3044,std_el_based,35.1517,33.4833,7.0038,2.3139,30
2023-04-20,2023-04,Chorus One,3,42.0656,18.5163,224000,2,96.6667,16.7,1.8163,10.876,std_el_based,32.1675,31.4331,4.1685,2.3745,30
2023-05-05,2023-05,Blockscape,5,63.3654,38.1378,236512,2,96.7742,35.1564,2.9814,8.4805,std_el_based,42.1494,39.72,8.6,2.467,31
2023-05-05,2023-05,Chorus One,3,56.7096,32.9753,224000,2,96.7742,32.828,0.1473,0.4487,std_el_based,41.0786,40.2467,7.7296,2.0222,31
2023-05-05,2023-05,Staking Facilities,0,77.3569,52.1591,236512,1,100.0,39.3829,12.7762,32.441,std_el_based,44.3808,40.7513,10.0344,3.2863,31
2023-05-06,2023-05,Blockscape,5,67.5696,43.1491,236512,1,100.0,35.1564,7.9927,22.7346,std_el_based,42.1494,39.72,8.6,2.9558,31
2023-05-06,2023-05,P2P.org,2,71.4742,46.3481,236512,1,100.0,37.0941,9.254,24.9474,std_el_based,44.6342,43.0579,8.6213,3.1132,31
2023-05-08,2023-05,Kiln,8,68.4337,42.2222,236480,1,100.0,38.3686,3.8536,10.0437,std_el_based,44.2638,41.0505,9.5813,2.5226,31
2023-05-11,2023-05,Chorus One,3,61.1177,38.0272,224000,1,100.0,32.828,5.1993,15.838,std_el_based,41.0786,40.2467,7.7296,2.5925,31
2023-05-12,2023-05,Attestant (BVI) Limited,29,98.3411,79.5452,221888,1,100.0,41.8092,37.736,90.2577,std_el_based,37.0007,33.5237,12.2579,5.0041,31
2023-06-02,2023-06,Staking Facilities,0,47.635,22.4844,256064,1,100.0,16.4079,6.0765,37.0338,std_el_based,32.6175,32.0726,3.9551,3.797,30
2023-06-03,2023-06,Blockscape,5,42.9151,18.218,256256,1,100.0,14.3672,3.8509,26.8032,std_el_based,30.719,29.8234,3.8259,3.1878,30
2023-06-06,2023-06,Chorus One,3,50.5314,28.4701,258176,2,96.6667,26.9888,1.4813,5.4886,std_el_based,32.9201,30.2072,8.562,2.0569,30
2023-06-10,2023-06,Attestant (BVI) Limited,29,86.0075,63.9666,260928,1,100.0,30.9795,32.9872,106.4806,std_el_based,33.0574,30.874,10.288,5.1468,30
2023-06-10,2023-06,P2P.org,2,44.0611,20.2194,249600,1,100.0,15.893,4.3263,27.2217,std_el_based,32.3281,30.7571,3.8141,3.0762,30
2023-06-14,2023-06,Kiln,8,60.777,37.0474,261792,1,100.0,21.1135,15.9339,75.4675,std_el_based,33.0285,31.2414,5.9818,4.6389,30
2023-06-27,2023-06,Chorus One,3,70.0602,46.7406,267648,1,100.0,26.9888,19.7518,73.1851,std_el_based,32.9201,30.2072,8.562,4.3378,30
2023-06-30,2023-06,Blockscape,5,38.526,15.335,268416,2,96.6667,14.3672,0.9678,6.7361,std_el_based,30.719,29.8234,3.8259,2.0406,30
2023-07-13,2023-07,Kiln,8,40.0632,15.732,278144,1,100.0,15.4025,0.3295,2.139,std_el_based,33.8144,33.3199,3.2959,1.8959,31
2023-07-18,2023-07,Attestant (BVI) Limited,29,49.8404,25.1178,280512,1,100.0,19.7056,5.4122,27.4652,std_el_based,34.8769,33.2789,4.9526,3.0214,31
2023-07-18,2023-07,P2P.org,2,39.5313,15.4313,280544,2,96.7742,14.2738,1.1575,8.1096,std_el_based,33.0195,32.8731,2.8304,2.3007,31
2023-07-20,2023-07,Blockscape,5,48.886,24.0674,280768,1,100.0,16.5864,7.481,45.1035,std_el_based,33.4287,32.7056,4.0562,3.8108,31
2023-07-20,2023-07,P2P.org,2,43.0577,18.7632,280768,1,100.0,14.2738,4.4894,31.4521,std_el_based,33.0195,32.8731,2.8304,3.5466,31
2023-07-24,2023-07,Blockscape,5,44.2528,19.0667,283136,2,96.7742,16.5864,2.4803,14.954,std_el_based,33.4287,32.7056,4.0562,2.6685,31
2023-07-28,2023-07,Attestant (BVI) Limited,29,45.0753,19.7883,287008,2,96.7742,19.7056,0.0828,0.42,std_el_based,34.8769,33.2789,4.9526,2.0592,31
2023-07-30,2023-07,Chorus One,3,113.3624,88.2553,288128,1,100.0,40.7115,47.5438,116.7825,std_el_based,36.8298,34.0146,14.42,5.3074,31
2023-07-30,2023-07,Staking Facilities,0,76.9711,52.3248,268800,1,100.0,27.396,24.9288,90.9946,std_el_based,35.4087,33.4518,8.3214,4.9946,31
2023-08-03,2023-08,Chorus One,3,49.3748,23.9567,288128,2,96.7742,19.3264,4.6303,23.9584,std_el_based,35.0035,33.485,5.1011,2.8173,31
2023-08-06,2023-08,Blockscape,5,44.9031,20.3827,288224,1,100.0,16.3034,4.0793,25.0211,std_el_based,35.0015,34.5338,3.3201,2.9823,31
2023-08-15,2023-08,P2P.org,2,48.1582,22.1277,294816,2,96.7742,21.007,1.1207,5.335,std_el_based,36.069,33.8267,5.2716,2.2933,31
2023-08-17,2023-08,Kiln,8,53.9501,28.9324,295840,1,100.0,21.0708,7.8616,37.3106,std_el_based,35.795,34.2703,5.3063,3.4214,31
2023-08-17,2023-08,Staking Facilities,0,224.6287,199.6339,268800,1,100.0,83.1799,116.454,140.0025,std_el_based,39.9678,32.677,34.0144,5.4289,31
2023-08-18,2023-08,Kiln,8,47.9966,22.8522,296384,2,96.7742,21.0708,1.7814,8.4543,std_el_based,35.795,34.2703,5.3063,2.2994,31
2023-08-21,2023-08,Blockscape,5,42.3019,17.011,300032,2,96.7742,16.3034,0.7076,4.3403,std_el_based,35.0015,34.5338,3.3201,2.1988,31
2023-08-25,2023-08,Attestant (BVI) Limited,29,50.2628,24.0513,304704,1,100.0,19.3429,4.7084,24.3416,std_el_based,36.2425,35.4068,4.5685,3.0689,31
2023-08-25,2023-08,P2P.org,2,54.0035,28.7893,304736,1,100.0,21.007,7.7823,37.0462,std_el_based,36.069,33.8267,5.2716,3.4021,31
2023-08-29,2023-08,Chorus One,3,52.9131,27.1909,310016,1,100.0,19.3264,7.8645,40.6931,std_el_based,35.0035,33.485,5.1011,3.5109,31
2023-09-09,2023-09,Staking Facilities,0,45.5277,22.3006,268800,1,100.0,15.6577,6.6428,42.4254,std_el_based,30.9249,29.9991,4.1695,3.5023,30
2023-09-11,2023-09,Attestant (BVI) Limited,29,39.1351,12.9462,315872,1,100.0,11.0082,1.938,17.6054,std_el_based,33.2956,33.2015,2.3623,2.472,30
2023-09-14,2023-09,Staking Facilities,0,44.6895,21.2824,268800,2,96.6667,15.6577,5.6247,35.923,std_el_based,30.9249,29.9991,4.1695,3.3012,30
2023-09-19,2023-09,P2P.org,2,54.3906,28.3714,317600,1,100.0,17.191,11.1804,65.0361,std_el_based,33.8292,32.9618,4.6445,4.4271,30
2023-09-20,2023-09,Chorus One,3,53.1655,25.8935,318240,1,100.0,18.122,7.7714,42.8838,std_el_based,35.4578,33.9649,5.023,3.5253,30
2023-09-26,2023-09,Blockscape,5,60.567,33.0365,318880,1,100.0,18.5652,14.4714,77.949,std_el_based,34.694,32.8479,5.4701,4.7299,30
2023-10-02,2023-10,Attestant (BVI) Limited,29,47.8122,19.7843,318848,1,100.0,15.3689,4.4154,28.7294,std_el_based,35.0455,34.042,4.0964,3.1165,31
2023-10-02,2023-10,P2P.org,2,79.9287,52.2999,316096,1,100.0,29.5026,22.7973,77.2722,std_el_based,36.0006,33.0025,9.9167,4.4297,31
2023-10-16,2023-10,Kiln,8,49.9963,24.0335,301248,1,100.0,16.8118,7.2217,42.9563,std_el_based,33.214,32.0853,4.5201,3.7128,31
2023-10-16,2023-10,Staking Facilities,0,40.0011,16.7071,268800,1,100.0,12.9855,3.7216,28.6598,std_el_based,29.3703,28.469,3.5156,3.0239,31
2023-10-20,2023-10,Gateway.fm AS,35,0.5932,0.1624,3200,1,100.0,0.1362,0.0262,19.2278,std_el_based,0.295,0.284,0.0975,3.0591,15
2023-10-21,2023-10,Chorus One,3,72.6174,47.5843,291136,1,100.0,26.5471,21.0372,79.2451,std_el_based,34.9394,31.9072,8.6414,4.3602,31
2023-10-23,2023-10,Staking Facilities,0,37.2877,13.8036,268800,2,96.7742,12.9855,0.8181,6.3002,std_el_based,29.3703,28.469,3.5156,2.2521,31
2023-10-25,2023-10,ParaFi Technologies LLC,37,0.6378,0.3277,3200,1,100.0,0.3175,0.0102,3.1966,std_el_based,0.2971,0.2335,0.1468,2.3203,16
2023-10-28,2023-10,RockawayX Infra,38,0.6879,0.3747,3200,1,100.0,0.2687,0.106,39.4636,std_el_based,0.2915,0.2957,0.132,3.0034,16
2023-10-30,2023-10,Blockscape,5,36.4734,12.0742,290144,4,90.3226,11.7179,0.3563,3.0405,std_el_based,32.0283,31.6653,2.8149,1.5792,31
2023-10-31,2023-10,Kiln,8,42.0303,17.2427,288000,2,96.7742,16.8118,0.4309,2.5631,std_el_based,33.214,32.0853,4.5201,1.9505,31
2023-11-09,2023-11,Kiln,8,41.5515,17.6151,285376,1,100.0,15.7923,1.8228,11.5425,std_el_based,33.9727,33.5057,3.0838,2.4576,30
2023-11-13,2023-11,Blockscape,5,49.9301,25.142,284256,1,100.0,16.271,8.8709,54.5196,std_el_based,32.8269,32.0843,3.9671,4.3113,30
2023-11-13,2023-11,Staking Facilities,0,48.6194,25.3362,268800,1,100.0,19.9425,5.3937,27.0465,std_el_based,32.6149,31.0252,5.1729,3.0939,30
2023-11-14,2023-11,Attestant (BVI) Limited,29,46.318,19.1573,320032,2,96.6667,18.5686,0.5887,3.1702,std_el_based,37.4991,36.6518,4.0263,2.1903,30
2023-11-21,2023-11,Chorus One,3,118.4758,94.7744,283296,1,100.0,45.192,49.5824,109.7152,std_el_based,37.2667,32.9528,16.007,5.0733,30
2023-11-22,2023-11,P2P.org,2,49.6071,24.7849,286208,1,100.0,17.0294,7.7555,45.5417,std_el_based,33.1515,32.4011,4.318,3.8109,30
2023-11-23,2023-11,Gateway.fm AS,35,1.2295,0.9188,3200,1,100.0,0.5797,0.3391,58.5003,std_el_based,0.3558,0.2942,0.1987,4.3972,30
2023-11-28,2023-11,Attestant (BVI) Limited,29,48.5256,21.8164,320032,1,100.0,18.5686,3.2478,17.491,std_el_based,37.4991,36.6518,4.0263,2.7386,30
2023-11-28,2023-11,RockawayX Infra,38,16.7695,6.2486,124800,2,96.6667,5.9329,0.3156,5.3197,std_el_based,6.4904,4.5061,5.1736,1.9868,30
2023-11-30,2023-11,ParaFi Technologies LLC,37,8.4443,2.1129,90272,1,100.0,1.9907,0.1222,6.137,std_el_based,4.1091,3.9936,1.8393,2.357,30
2023-11-30,2023-11,RockawayX Infra,38,19.3139,8.6144,124800,1,100.0,5.9329,2.6814,45.1958,std_el_based,6.4904,4.5061,5.1736,2.4786,30
2023-12-01,2023-12,ParaFi Technologies LLC,37,12.6447,5.099,101184,6,83.871,5.0221,0.0769,1.5314,std_el_based,11.4924,11.3169,1.1526,0.9998,31
2023-12-04,2023-12,Attestant (BVI) Limited,29,53.2357,26.0649,320032,1,100.0,17.6458,8.4191,47.712,std_el_based,35.7558,34.462,4.489,3.8939,31
2023-12-04,2023-12,ParaFi Technologies LLC,37,14.7763,5.7598,105600,1,100.0,5.0221,0.7377,14.6895,std_el_based,11.4924,11.3169,1.1526,2.8492,31
2023-12-05,2023-12,ParaFi Technologies LLC,37,13.7478,5.1777,105600,2,96.7742,5.0221,0.1556,3.0985,std_el_based,11.4924,11.3169,1.1526,1.9569,31
2023-12-08,2023-12,Chorus One,3,59.7098,35.1975,283296,2,96.7742,25.4683,9.7292,38.2013,std_el_based,33.0984,30.5567,8.1781,3.254,31
2023-12-11,2023-12,Kiln,8,51.951,27.7708,281888,3,93.5484,25.9925,1.7782,6.8413,std_el_based,34.2355,31.3283,7.7821,2.2764,31
2023-12-11,2023-12,P2P.org,2,43.0725,19.2381,284608,1,100.0,13.5886,5.6495,41.5749,std_el_based,31.6466,31.5921,2.9414,3.8845,31
2023-12-11,2023-12,RockawayX Infra,38,25.1765,10.0395,176000,1,100.0,9.0961,0.9434,10.371,std_el_based,19.3458,18.9434,2.5842,2.2563,31
2023-12-12,2023-12,Chorus One,3,63.4816,39.4621,283296,1,100.0,25.4683,13.9938,54.9461,std_el_based,33.0984,30.5567,8.1781,3.7152,31
2023-12-14,2023-12,Gateway.fm AS,35,2.7879,1.5442,16000,1,100.0,1.0555,0.4887,46.3051,std_el_based,1.4413,1.4904,0.6207,2.1695,31
2023-12-15,2023-12,Attestant (BVI) Limited,29,45.8649,18.4631,320032,2,96.7742,17.6458,0.8173,4.6318,std_el_based,35.7558,34.462,4.489,2.252,31
2023-12-15,2023-12,Kiln,8,55.5478,31.8881,281888,2,96.7742,25.9925,5.8955,22.6817,std_el_based,34.2355,31.3283,7.7821,2.7386,31
2023-12-19,2023-12,Kiln,8,56.8327,34.2232,281888,1,100.0,25.9925,8.2307,31.6655,std_el_based,34.2355,31.3283,7.7821,2.9037,31
2023-12-19,2023-12,RockawayX Infra,38,24.5943,9.6304,176000,3,93.5484,9.0961,0.5343,5.8743,std_el_based,19.3458,18.9434,2.5842,2.031,31
2023-12-20,2023-12,Staking Facilities,0,164.7713,142.9345,268800,1,100.0,65.1528,77.7816,119.3833,std_el_based,35.9469,29.6087,25.7146,5.0098,31
2023-12-21,2023-12,Blockscape,5,47.8418,23.9138,282560,1,100.0,17.6234,6.2904,35.6933,std_el_based,31.724,30.6563,4.8649,3.3131,31
2023-12-28,2023-12,Blockscape,5,42.6477,19.1209,282560,2,96.7742,17.6234,1.4974,8.4969,std_el_based,31.724,30.6563,4.8649,2.2454,31
2023-12-30,2023-12,RockawayX Infra,38,24.9833,10.244,176000,2,96.7742,9.0961,1.1479,12.6193,std_el_based,19.3458,18.9434,2.5842,2.1815,31
2024-01-02,2024-01,Gateway.fm AS,35,2.4937,0.9776,16000,1,100.0,0.798,0.1797,22.5128,std_el_based,1.6209,1.5666,0.2732,3.1944,31
2024-01-03,2024-01,Kiln,8,51.1271,26.3967,281888,1,100.0,16.3821,10.0147,61.1317,std_el_based,30.4851,28.3174,4.8799,4.23,31
2024-01-03,2024-01,ParaFi Technologies LLC,37,25.5797,12.9847,153504,2,96.7742,11.8742,1.1105,9.3522,std_el_based,19.0676,18.9415,3.9476,1.6497,31
2024-01-03,2024-01,Staking Facilities,0,46.4178,23.0506,268800,1,100.0,13.188,9.8626,74.7849,std_el_based,27.8058,27.1387,4.1095,4.529,31
2024-01-04,2024-01,RockawayX Infra,38,27.8191,12.9722,176000,1,100.0,8.9324,4.0398,45.226,std_el_based,19.895,19.6916,2.5117,3.1549,31
2024-01-10,2024-01,Attestant (BVI) Limited,29,38.3721,11.9182,320032,2,96.7742,11.5159,0.4024,3.4939,std_el_based,32.7803,32.5587,3.0081,1.8589,31
2024-01-10,2024-01,Blockscape,5,35.5996,12.5037,282560,1,100.0,10.1531,2.3507,23.1521,std_el_based,29.1226,28.2407,2.3188,2.7932,31
2024-01-10,2024-01,P2P.org,2,58.7485,34.2445,284096,2,96.7742,25.6913,8.5532,33.2923,std_el_based,32.4916,30.4007,8.5356,3.0762,31
2024-01-10,2024-01,ParaFi Technologies LLC,37,33.4269,20.5024,178080,1,100.0,11.8742,8.6282,72.6636,std_el_based,19.0676,18.9415,3.9476,3.6375,31
2024-01-11,2024-01,Attestant (BVI) Limited,29,41.6792,14.0947,320032,1,100.0,11.5159,2.5788,22.3934,std_el_based,32.7803,32.5587,3.0081,2.9583,31
2024-01-15,2024-01,P2P.org,2,63.8325,39.909,284096,1,100.0,25.6913,14.2177,55.3406,std_el_based,32.4916,30.4007,8.5356,3.6718,31
2024-01-23,2024-01,Chorus One,3,102.785,79.2664,283296,1,100.0,35.0202,44.2462,126.3447,std_el_based,32.1746,29.5922,13.1753,5.3593,31
2024-01-28,2024-01,Gateway.fm AS,35,2.1252,0.8034,16000,2,96.7742,0.798,0.0054,0.6738,std_el_based,1.6209,1.5666,0.2732,1.8458,31
2024-01-31,2024-01,Blockscape,5,34.4647,10.9217,282560,2,96.7742,10.1531,0.7687,7.5706,std_el_based,29.1226,28.2407,2.3188,2.3038,31
2024-02-08,2024-02,Blockscape,5,36.1827,13.0587,282560,1,100.0,10.9058,2.1529,19.7407,std_el_based,29.5112,28.6326,2.3054,2.8938,29
2024-02-08,2024-02,Kiln,8,36.527,13.1971,281888,1,100.0,13.0886,0.1085,0.8286,std_el_based,30.2751,29.9019,2.9509,2.1186,29
2024-02-08,2024-02,P2P.org,2,32.0801,8.526,284096,1,100.0,8.2289,0.2972,3.6111,std_el_based,28.0452,27.6656,1.7373,2.3225,29
2024-02-09,2024-02,P2P.org,2,31.8092,8.4056,284096,2,96.5517,8.2289,0.1767,2.1477,std_el_based,28.0452,27.6656,1.7373,2.1665,29
